team,player_id,player_name,position,season,depth,targets,receptions,receiving_yards,receiving_air_yards,yards_after_catch,reception_td,reception_fumble_lost,PositionEncoded
NO,00-0023564,Darren Sproles,RB,2013,2.0,89.0,71.0,604.0,138.0,518.0,2.0,0.0,0
PHI,00-0023564,Darren Sproles,RB,2014,2.0,62.0,40.0,387.0,45.0,404.0,0.0,0.0,0
PHI,00-0023564,Darren Sproles,RB,2015,2.0,83.0,55.0,388.0,119.0,359.0,2.0,0.0,0
PHI,00-0023564,Darren Sproles,RB,2016,2.0,71.0,52.0,427.0,35.0,407.0,2.0,0.0,0
PHI,00-0023564,Darren Sproles,RB,2017,2.0,12.0,7.0,73.0,-13.0,83.0,1.0,0.0,0
PHI,00-0023564,Darren Sproles,RB,2018,1.0,23.0,15.0,160.0,28.0,127.0,2.0,0.0,0
PHI,00-0023564,Darren Sproles,RB,2019,2.0,10.0,6.0,24.0,15.0,25.0,0.0,0.0,0
CAR,00-0031123,Darrin Reaves,RB,2014,2.0,8.0,5.0,31.0,-5.0,42.0,0.0,0.0,0
IND,00-0026983,Darrius Heyward-Bey,WR,2013,1.0,66.0,29.0,311.0,658.0,124.0,1.0,0.0,1
PIT,00-0026983,Darrius Heyward-Bey,WR,2014,3.0,5.0,3.0,33.0,83.0,0.0,0.0,1.0,1
PIT,00-0026983,Darrius Heyward-Bey,WR,2015,2.0,40.0,21.0,314.0,707.0,73.0,2.0,0.0,1
PIT,00-0026983,Darrius Heyward-Bey,WR,2016,2.0,19.0,6.0,114.0,388.0,18.0,2.0,0.0,1
PIT,00-0026983,Darrius Heyward-Bey,WR,2017,2.0,3.0,2.0,47.0,50.0,21.0,0.0,0.0,1
PIT,00-0026983,Darrius Heyward-Bey,WR,2018,3.0,2.0,1.0,9.0,25.0,10.0,0.0,0.0,1
GB,00-0035181,Darrius Shepherd,WR,2019,2.0,2.0,1.0,1.0,8.0,3.0,0.0,0.0,1
GB,00-0035181,Darrius Shepherd,WR,2020,2.0,8.0,5.0,46.0,120.0,18.0,0.0,0.0,1
TEN,00-0036297,Darrynton Evans,RB,2020,2.0,4.0,2.0,27.0,-2.0,29.0,1.0,0.0,0
CHI,00-0036297,Darrynton Evans,RB,2022,3.0,1.0,1.0,33.0,2.0,31.0,0.0,0.0,0
CHI,00-0036297,Darrynton Evans,RB,2023,3.0,12.0,7.0,49.0,-14.0,69.0,0.0,0.0,0
WAS,00-0034710,Darvin Kidsy,WR,2018,2.0,2.0,1.0,8.0,18.0,2.0,0.0,0.0,1
KC,00-0035148,Darwin Thompson,RB,2019,3.0,10.0,9.0,43.0,-16.0,62.0,0.0,0.0,0
KC,00-0035148,Darwin Thompson,RB,2020,3.0,11.0,7.0,65.0,-29.0,88.0,1.0,0.0,0
PIT,00-0029612,Daryl Richardson,RB,2016,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
IND,00-0034395,Daurice Fountain,WR,2020,2.0,3.0,2.0,23.0,28.0,0.0,0.0,0.0,1
GB,00-0031381,Davante Adams,WR,2014,2.0,66.0,38.0,446.0,675.0,173.0,3.0,0.0,1
GB,00-0031381,Davante Adams,WR,2015,1.0,95.0,50.0,495.0,951.0,148.0,1.0,0.0,1
GB,00-0031381,Davante Adams,WR,2016,2.0,123.0,75.0,999.0,1438.0,386.0,12.0,1.0,1
GB,00-0031381,Davante Adams,WR,2017,2.0,118.0,74.0,885.0,1137.0,338.0,10.0,0.0,1
GB,00-0031381,Davante Adams,WR,2018,1.0,170.0,111.0,1388.0,1906.0,475.0,13.0,0.0,1
GB,00-0031381,Davante Adams,WR,2019,1.0,128.0,83.0,999.0,1270.0,388.0,5.0,1.0,1
GB,00-0031381,Davante Adams,WR,2020,1.0,149.0,115.0,1374.0,1330.0,597.0,19.0,1.0,1
GB,00-0031381,Davante Adams,WR,2021,1.0,169.0,123.0,1553.0,1614.0,601.0,11.0,0.0,1
LV,00-0031381,Davante Adams,WR,2022,1.0,181.0,100.0,1516.0,2129.0,493.0,15.0,0.0,1
LV,00-0031381,Davante Adams,WR,2023,1.0,175.0,103.0,1149.0,1896.0,336.0,9.0,1.0,1
CLE,00-0037257,David Bell,WR,2022,2.0,35.0,24.0,214.0,256.0,69.0,0.0,0.0,1
CLE,00-0037257,David Bell,WR,2023,2.0,23.0,14.0,167.0,142.0,73.0,3.0,0.0,1
TEN,00-0032133,David Cobb,RB,2015,3.0,2.0,1.0,-2.0,-4.0,3.0,0.0,0.0,0
TEN,00-0030711,David Fluellen,RB,2017,3.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0
TEN,00-0030711,David Fluellen,RB,2018,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ARI,00-0032187,David Johnson,RB,2015,2.0,57.0,36.0,457.0,269.0,347.0,4.0,0.0,0
ARI,00-0032187,David Johnson,RB,2016,1.0,121.0,80.0,881.0,529.0,661.0,4.0,0.0,0
ARI,00-0032187,David Johnson,RB,2017,1.0,9.0,6.0,67.0,34.0,46.0,0.0,0.0,0
ARI,00-0032187,David Johnson,RB,2018,1.0,76.0,50.0,446.0,63.0,385.0,4.0,0.0,0
ARI,00-0032187,David Johnson,RB,2019,1.0,47.0,36.0,370.0,181.0,226.0,5.0,1.0,0
HOU,00-0032187,David Johnson,RB,2020,1.0,46.0,33.0,314.0,168.0,235.0,2.0,1.0,0
HOU,00-0032187,David Johnson,RB,2021,1.0,42.0,32.0,225.0,87.0,191.0,1.0,0.0,0
NO,00-0032187,David Johnson,RB,2022,3.0,4.0,4.0,47.0,1.0,46.0,0.0,0.0,0
CHI,00-0035685,David Montgomery,RB,2019,3.0,35.0,25.0,185.0,94.0,156.0,1.0,0.0,0
CHI,00-0035685,David Montgomery,RB,2020,1.0,68.0,54.0,438.0,64.0,396.0,3.0,1.0,0
CHI,00-0035685,David Montgomery,RB,2021,1.0,51.0,42.0,301.0,45.0,273.0,0.0,0.0,0
CHI,00-0035685,David Montgomery,RB,2022,1.0,40.0,34.0,316.0,51.0,283.0,2.0,1.0,0
DET,00-0035685,David Montgomery,RB,2023,1.0,24.0,16.0,117.0,-19.0,149.0,0.0,0.0,0
SEA,00-0033589,David Moore,WR,2018,2.0,53.0,26.0,445.0,839.0,93.0,6.0,0.0,1
SEA,00-0033589,David Moore,WR,2019,2.0,34.0,17.0,301.0,482.0,128.0,2.0,1.0,1
SEA,00-0033589,David Moore,WR,2020,2.0,47.0,35.0,417.0,416.0,169.0,6.0,0.0,1
DEN,00-0033589,David Moore,WR,2021,3.0,2.0,0.0,0.0,28.0,0.0,0.0,0.0,1
BUF,00-0027322,David Nelson,WR,2012,2.0,5.0,2.0,31.0,40.0,10.0,1.0,0.0,1
NYJ,00-0027322,David Nelson,WR,2013,2.0,61.0,36.0,423.0,686.0,108.0,4.0,0.0,1
NYJ,00-0027322,David Nelson,WR,2014,2.0,17.0,8.0,65.0,187.0,3.0,0.0,0.0,1
NYG,00-0035359,David Sills,WR,2022,2.0,17.0,11.0,106.0,133.0,40.0,0.0,0.0,1
JAX,00-0034427,David Williams,RB,2018,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
NYG,00-0029251,David Wilson,RB,2012,2.0,9.0,4.0,34.0,30.0,14.0,1.0,0.0,0
NYG,00-0029251,David Wilson,RB,2013,2.0,6.0,2.0,8.0,29.0,11.0,0.0,0.0,0
HOU,00-0035101,Davion Davis,WR,2021,3.0,3.0,1.0,17.0,14.0,13.0,0.0,0.0,1
MIA,00-0026000,Davone Bess,WR,2012,2.0,105.0,61.0,778.0,1057.0,249.0,1.0,0.0,1
CLE,00-0026000,Davone Bess,WR,2013,2.0,87.0,42.0,364.0,524.0,149.0,2.0,0.0,1
WAS,00-0036671,Dax Milne,WR,2021,2.0,14.0,9.0,83.0,102.0,39.0,0.0,1.0,1
WAS,00-0036671,Dax Milne,WR,2022,2.0,7.0,6.0,37.0,38.0,13.0,1.0,0.0,1
DEN,00-0033581,De'Angelo Henderson,RB,2017,3.0,2.0,2.0,36.0,1.0,35.0,1.0,0.0,0
NYJ,00-0033581,De'Angelo Henderson,RB,2018,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
KC,00-0031060,De'Anthony Thomas,WR,2015,1.0,24.0,17.0,140.0,29.0,149.0,1.0,0.0,1
KC,00-0031060,De'Anthony Thomas,WR,2016,2.0,9.0,7.0,35.0,32.0,24.0,0.0,0.0,1
